REGION,NEW,DISTRICT_N
4,21,146904
4,21,146907
4,21,146905
4,21,146906
4,21,146902
4,21,146901
4,21,146903
4,21,36901
4,21,101925
4,21,36902
4,21,101906
4,21,36903
4,21,84902
4,21,84901
4,21,101911
4,21,101913
4,21,84910
4,21,101916
4,21,101924
4,21,84906
4,21,20905
4,21,20902
4,21,84908
4,21,84909
4,21,101908
4,21,101905
4,21,101902
4,21,101912
4,21,101917
10,22,91909
10,22,91914
10,22,91913
10,22,91902
10,22,91906
10,22,91905
10,22,91917
10,22,91903
10,22,91907
10,22,91901
10,22,91918
10,22,91908
10,22,43903
10,22,74911
10,22,91910
10,22,43902
10,22,43907
10,22,43912
10,22,74905
10,22,74903
10,22,74912
10,22,43917
10,22,43908
10,22,43919
10,22,43901
10,22,43905
10,22,43911
10,22,74917
10,22,74904
10,22,74907
10,22,116909
10,22,74909
10,22,43904
10,22,116902
10,22,116915
10,22,43910
10,22,43914
10,22,43918
10,22,116903
10,22,116905
10,22,116901
10,22,57916
10,22,57909
10,22,57905
11,23,49909
11,23,49902
11,23,49907
11,23,49901
11,23,49906
11,23,49905
11,23,49903
11,23,61908
11,23,249908
11,23,49908
11,23,61903
11,23,61905
11,23,61901
11,23,249901
11,23,249905
11,23,61907
11,23,61906
11,23,61912
11,23,61910
11,23,61914
11,23,61902
11,23,61911
11,23,249904
11,23,249903
11,23,249906
11,23,249902
11,23,220906
11,23,220919
11,23,220907
11,23,220918
11,23,220915
11,23,184901
11,23,184902
11,23,220916
11,23,220902
13,24,246902
13,24,246907
13,24,246908
13,24,27903
13,24,246904
13,24,246905
13,24,246913
13,24,150901
13,24,27904
13,24,246911
13,24,246909
13,24,246906
13,24,166905
13,24,246912
13,24,227913
13,24,227909
13,24,227901
20,25,133905
20,25,193902
20,25,133904
20,25,133902
20,25,232904
20,25,10901
20,25,232902
20,25,232903
20,25,133903
20,25,163902
20,25,133901
20,25,10902
20,25,232901
20,25,82903
20,25,254902
20,25,254901
20,25,136901
20,25,159901
20,25,163904
20,25,15915
20,25,130901
20,25,163908
20,25,82902
20,25,142901
20,25,7901
20,25,163901
20,25,64903
20,25,15912
20,25,15910
7,26,250907
7,26,250904
7,26,250902
7,26,230904
7,26,230905
7,26,250903
7,26,250905
7,26,250906
7,26,212910
7,26,212903
7,26,230901
7,26,230902
7,26,92901
7,26,234906
7,26,190903
7,26,234904
7,26,212909
7,26,212905
7,26,230903
7,26,230906
7,26,92908
7,26,92903
7,26,230908
7,26,92906
7,26,234905
7,26,107902
7,26,234909
7,26,234903
7,26,201908
7,26,212901
7,26,212906
7,26,212902
7,26,102905
7,26,102904
7,26,92907
1,27,240903
1,27,253901
1,27,240901
1,27,240904
1,27,214903
1,27,124901
1,27,214902
1,27,214901
1,27,108904
1,27,108912
1,27,108908
1,27,108906
1,27,108911
12,28,175911
12,28,175903
12,28,175902
12,28,175910
12,28,175907
12,28,81905
12,28,81902
12,28,175904
12,28,175905
12,28,81904
12,28,147903
12,28,81906
12,28,109908
12,28,147901
12,28,109905
12,28,109902
12,28,147902
12,28,109914
12,28,161908
12,28,109910
12,28,161918
12,28,109904
12,28,109901
12,28,73903
12,28,161916
12,28,161924
12,28,161912
12,28,161906
12,28,109907
12,28,109903
12,28,109911
12,28,109913
12,28,109912
12,28,73901
12,28,161922
12,28,73905
12,28,161921
12,28,161925
12,28,161914
12,28,18903
12,28,18902
12,28,18901
12,28,18907
12,28,161920
12,28,18904
12,28,161907
12,28,161919
12,28,161903
12,28,73904
12,28,14907
12,28,14910
19,29,71901
19,29,115901
19,29,71908
19,29,71903
19,29,71904
19,29,71909
19,29,115902
19,29,115903
19,29,71902
2,30,13903
2,30,13902
2,30,13901
2,30,149902
2,30,149901
2,30,13905
2,30,162904
2,30,125903
2,30,125901
2,30,205904
2,30,66902
2,30,205906
2,30,66903
2,30,178913
2,30,178901
2,30,137901
2,30,178905
2,30,178902
2,30,125902
2,30,178903
2,30,205905
2,30,125905
2,30,66901
2,30,4901
2,30,205907
2,30,205902
2,30,178909
2,30,137904
2,30,137903
2,30,137902
2,30,178915
2,30,178906
2,30,178912
2,30,125906
2,30,66005
2,30,178908
2,30,205901
5,31,121902
5,31,176901
5,31,121904
5,31,176902
5,31,121905
5,31,229901
5,31,229903
5,31,121903
5,31,176903
5,31,229904
5,31,229905
5,31,229906
5,31,121906
5,31,100904
5,31,181908
5,31,181907
5,31,100903
5,31,100907
5,31,181906
5,31,181905
5,31,123910
6,32,145907
6,32,113902
6,32,145902
6,32,145901
6,32,113906
6,32,113905
6,32,113901
6,32,113903
6,32,145906
6,32,154901
6,32,145911
6,32,228905
6,32,228904
6,32,228901
6,32,228903
6,32,236902
6,32,154903
6,32,198903
6,32,21902
6,32,93903
6,32,93901
6,32,187904
6,32,187910
6,32,204901
6,32,187907
6,32,236901
6,32,93905
6,32,198901
6,32,198905
6,32,198902
6,32,198906
6,32,26903
6,32,26901
6,32,21901
16,33,211902
16,33,171902
16,33,171901
16,33,103902
16,33,56901
16,33,56902
16,33,211901
16,33,98901
16,33,98903
16,33,33902
16,33,117903
16,33,117904
16,33,103901
16,33,188904
16,33,188903
16,33,98904
16,33,197902
16,33,117901
16,33,191901
16,33,33904
16,33,6902
16,33,33901
16,33,117907
16,33,180904
16,33,180901
16,33,180902
16,33,180903
16,33,188902
16,33,188901
17,34,140907
17,34,9901
17,34,140908
17,34,140905
17,34,140904
17,34,140901
17,34,40902
17,34,40901
17,34,95905
17,34,95903
17,34,95902
17,34,110901
17,34,95901
17,34,110908
17,34,110902
17,34,251902
17,34,223901
17,34,110907
17,34,77902
17,34,77901
17,34,95904
17,34,110906
17,34,152909
17,34,152902
17,34,152910
17,34,223902
17,34,110905
17,34,251901
17,34,153904
17,34,223904
17,34,83901
17,34,63903
17,34,173901
17,34,54903
17,34,54901
17,34,54902
17,34,152907
17,34,152901
18,35,114901
18,35,156905
18,35,114902
18,35,114904
18,35,156902
18,35,2901
18,35,87901
18,35,165901
18,35,165902
3,36,45902
3,36,45905
3,36,45903
3,36,143901
3,36,241903
3,36,241902
3,36,143905
3,36,143906
3,36,143903
3,36,143902
3,36,120901
3,36,143904
3,36,158902
3,36,158901
3,36,241904
3,36,241906
3,36,120902
3,36,241901
3,36,62903
3,36,235902
,,
